Host,Port,Type,Country,Country code,City
47.100.106.114, 54370, socks5, China, CN, 
182.254.145.163, 26222, socks5, China, CN, Shenzhen
106.14.222.35, 50461, socks5, China, CN, 
106.14.222.35, 58841, socks5, China, CN, 
191.241.33.51, 4145, socks4, Brazil, BR, Fortaleza
121.232.199.34, 9000, https, China, CN, Zhenjiang
47.100.106.114, 52520, socks5, China, CN, 
47.100.106.114, 60608, socks5, China, CN, 
117.102.78.42, 8080, https, Indonesia, ID, Surabaya
118.99.94.70, 46571, https, Indonesia, ID, Bandung
36.85.154.222, 808, https, Indonesia, ID, Samarinda
47.100.106.114, 52643, socks5, China, CN, 
47.100.106.114, 54781, socks5, China, CN, 
106.14.222.35, 56027, socks5, China, CN, 
106.14.222.35, 53929, socks5, China, CN, 
47.100.106.114, 55298, socks5, China, CN, 
106.14.222.35, 55831, socks5, China, CN, 
187.87.204.220, 53709, socks4, Brazil, BR, Conceicao do Coite
47.100.106.114, 56451, socks5, China, CN, 
1.198.72.27, 9999, https, China, CN, 
223.242.225.205, 9999, https, China, CN, Huainan
106.14.222.35, 52409, socks5, China, CN, 
106.14.243.103, 50399, socks5, China, CN, 
47.100.106.114, 56688, socks5, China, CN, 
47.100.106.114, 56303, socks5, China, CN, 
59.56.28.254, 80, https, China, CN, Fuzhou
117.69.201.44, 9999, https, China, CN, 
106.14.222.35, 58494, socks5, China, CN, 
106.14.222.35, 64538, socks5, China, CN, 
106.14.222.35, 56223, socks5, China, CN, 
125.121.168.64, 8888, https, China, CN, Hangzhou
106.14.222.35, 56904, socks5, China, CN, 
47.100.106.114, 57682, socks5, China, CN, 
106.14.222.35, 54308, socks5, China, CN, 
106.14.222.35, 52611, socks5, China, CN, 
47.100.106.114, 51267, socks5, China, CN, 
106.6.133.79, 8118, https, China, CN, Dajiang
117.90.137.95, 9000, https, China, CN, Wuxi
106.14.222.35, 56388, socks5, China, CN, 
47.100.106.114, 53908, socks5, China, CN, 
106.14.222.35, 49359, socks5, China, CN, 
222.128.9.235, 33428, https, China, CN, Beijing
47.100.106.114, 64934, socks5, China, CN, 
106.14.222.35, 56954, socks5, China, CN, 
47.100.106.114, 51101, socks5, China, CN, 
47.100.106.114, 59348, socks5, China, CN, 
175.44.109.126, 9999, https, China, CN, Putian
106.14.222.35, 55128, socks5, China, CN, 
36.80.36.57, 46210, https, Indonesia, ID, Bogor
106.14.222.35, 54869, socks5, China, CN, 
106.14.222.35, 52362, socks5, China, CN, 
47.100.106.114, 61149, socks5, China, CN, 
200.97.10.90, 4145, socks4, Brazil, BR, Rio de Janeiro
101.255.171.226, 8080, https, Indonesia, ID, Jakarta
106.14.222.35, 53344, socks5, China, CN, 
106.14.222.35, 60077, socks5, China, CN, 
47.100.106.114, 52135, socks5, China, CN, 
1.197.10.240, 9999, https, China, CN, Tianjin
201.158.21.211, 4145, socks4, Brazil, BR, Teresopolis
106.14.222.35, 62166, socks5, China, CN, 
106.14.222.35, 64639, socks5, China, CN, 
106.14.222.35, 60013, socks5, China, CN, 
47.100.106.114, 54940, socks5, China, CN, 
47.100.106.114, 59199, socks5, China, CN, 
106.14.222.35, 61374, socks5, China, CN, 
47.100.106.114, 57452, socks5, China, CN, 
121.237.148.232, 3000, https, China, CN, Nanjing
183.166.103.254, 9999, https, China, CN, 
