Host,Port,Type,Country,Country code,City
163.204.243.227, 9999, https, China, CN, 
113.66.228.64, 1080, https, China, CN, Guangzhou
222.188.188.3, 9999, https, China, CN, Changzhou
106.14.222.35, 60912, socks5, China, CN, 
106.14.222.35, 62256, socks5, China, CN, 
180.251.127.58, 8080, https, Indonesia, ID, Probolinggo
45.70.248.191, 45357, socks4, Brazil, BR, Pentecoste
106.14.222.35, 62105, socks5, China, CN, 
106.14.222.35, 62804, socks5, China, CN, 
163.204.244.166, 9999, https, China, CN, 
106.14.222.35, 54835, socks5, China, CN, 
61.5.52.145, 8080, https, Indonesia, ID, Surabaya
47.100.106.114, 56044, socks5, China, CN, 
101.75.164.123, 8118, https, China, CN, Qinhuangdao
106.14.222.35, 53954, socks5, China, CN, 
47.100.106.114, 57678, socks5, China, CN, 
47.100.106.114, 64887, socks5, China, CN, 
113.128.11.254, 9999, https, China, CN, Jinan
47.100.106.114, 58275, socks5, China, CN, 
163.204.246.123, 9999, https, China, CN, 
47.100.106.114, 57854, socks5, China, CN, 
47.100.106.114, 57974, socks5, China, CN, 
